company_name,founded_year,company_hq_location,sector,company_description,founders,investor,amount_usd,funding_round,funding_month,funding_year
AntWak,2019.0,Bengaluru,Edtech,AntWak provides a video platform for e-learning service.,"Basav Nagur, Joybroto Ganguly, Sudhanshu Shekhar, Sumit Gupta, Sriramkumar Sundararaman","Vaibhav Domkundwar, Kunal Shah",undisclosed,Seed,4,2021
PlayShifu,2016.0,Bengaluru,Edtech,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,"Dinesh Advani, Vivek Goyal","Chiratae Ventures, Bharat Innovation Fund",17000000.0,Series B,4,2021
Pitstop,2015.0,Bengaluru,Automotive,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak","Acko Technology, Services, LetsVenture",3500000.0,Pre-Series B,4,2021
Lendingkart,1999.0,Gujarat,Fintech,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,"Harshvardhan Lunia, Mukul Sachan","Bertelsmann India Investments, Fullerton Financial Holdings",15000000.0,Debt,4,2021
CRED,2018.0,Bengaluru,Fintech,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,Kunal Shah,"Dragoneer Investment Group, Tiger Global Management",215000000.0,Series D,4,2021
Karnival,2015.0,Bengaluru,Saas,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,Neeraj Tyagi,http://100x.vc/,2500000.0,Seed,4,2021
PharmEasy,2015.0,Mumbai,Healthtech,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.","Dharmil Sheth, Dhaval Shah, Mikhil Innani","TPG Growth, Caisse de Depot et Placement du Quebec",350000000.0,Series E,4,2021
WESS,1989.0,Mumbai,Renewable Energy,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,Hitesh Doshi,Centrum Financial Services,2000000.0,Seed,4,2021
ShopSe,2020.0,Mumbai,Fintech,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,"Pallav Jain, Abhishek Nimonkar, Yagnesh Desai","Chiratae Ventures, BEENEXT",5500000.0,Unknown,4,2021
Fantasy Akhada,2020.0,Gurugram,Fantasy Sports,Fantasy Akhada offers fantasy sports platform for cricket and football.,Amit Purohit,Harsha Bhogle,600000.0,Unknown,4,2021
Rage Coffee,2018.0,New Delhi,Food & Beverages,Rage Coffee is infused with plant based vitamins. These 100% natural extracts are typically found in foods.,Bharat Sethi,"GetVantage, Prakash Katama",undisclosed,Pre-Series A,4,2021
Groww,2017.0,Bengaluru,Fintech,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh","Tiger Global Management, Y Combinator Continuity Fund",83000000.0,Series D,4,2021
Avanti Finance,2016.0,Bengaluru,Fintech,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,"Ratan Tata, Nandan Nilekani",Michael & Susan Dell Foundation,26000000.0,Series A,4,2021
Kudos,2014.0,Pune,Fintech,"Kudos is a full stack NBFC, a digital lending engine with an in-built API lending protocol layer of over 20+ API’s.",Naresh Vigh,Marquee fintech founders,undisclosed,Pre-Series A,4,2021
OfBusiness,2015.0,Gurugram,Fintech,OfBusiness is a financing platform that offers smart financing to SMEs.,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar","Falcon Edge India, Norwest Venture Partners",110000000.0,Unknown,4,2021
Superpro.ai,2019.0,Bengaluru,Video Communication,Enabling independent professionals to bring offline consulting online with AI,"Gaurav Tripathi, Sagar Ramteke, Vijay Goel, Vivek Kumar","SOSV, Omphalos Ventures India",3000000.0,Seed,4,2021
ShareChat,2015.0,Bengaluru,Social Media,ShareChat is a social networking and regional content platform.,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","Twitter Ventures, Pawan Munjal",500000000.0,Unknown,4,2021
WiT-ACE,2020.0,Gurugram,Skill Development,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",Anuranjita Kumar,CitiusTech,1000000.0,Seed,4,2021
Spinny,2015.0,Gurugram,Retail,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur","Arena Holdings, Think Investments",65000000.0,Series C,4,2021
Safexpay,2017.0,Thane,Fintech,SafexPay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,Ravi Gupta,"T Choithrams BVI, Ardor",6000000.0,Unknown,4,2021
PumPumPum,2018.0,Gurugram,Rental,Pumpumpum is a car rental company.,"Tarun Lawadia, Sameer Kalra","Kogta Financial India Limited, ICICI Bank",700000.0,Pre-Series A,4,2021
Speciale Invest,2017.0,Bengaluru,Fintech,Speciale Invest is an early stage investor focusing on Tech-driven/Deep-tech ventures.,"Vishesh Rajaram, Arjun Rao",,10000000.0,Unknown,4,2021
Eunimart,2016.0,Hyderabad,E-Commerce,Eunimart is a one stop solution for merchants to create a difference by selling globally.,"Saikat Roy, Shayak Mazumder","SucSEED Venture Partners, TMT Connekt",700000.0,Pre-Series A,4,2021
Meesho,2015.0,Bengaluru,E-Commerce,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,"Sanjeev Barnwal, Vidit Aatrey","SAIF Partners, Venture Highway",300000000.0,Unknown,4,2021
CareerLabs,2019.0,Bengaluru,Edtech,"Aim to help students become future-ready, setting them on a path to success that suits them best.","PN Santosh, Prasanna Alagesan, Krithika Srinivasan",Global Founders Capital,2200000.0,Unknown,4,2021
Uable,2020.0,Bengaluru,Edtech,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,Saurabh saxena,"JAFCO Asia, Chiratae Ventures",35000000.0,Pre-Series A,4,2021
Zoko,2016.0,Bengaluru,Tech,"Zoko makes it easy for businesses to do Sales, Marketing & Customer Support on WhatsApp.","Arjun Paul, Aromal Sivadasan",Y Combinator,140000000.0,Seed,4,2021
GetWork,2019.0,Gurugram,Recruitment,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,Artha Venture Fund,200000.0,Seed,4,2021
Easebuzz,2015.0,Pune,E-Commerce,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,Rohit Prasad,"Jitendra Gupta, Amrish Rau",4000000.0,Series A,4,2021
Chingari,2018.0,Bengaluru,Social Media,Chingari operates as a short video platform.,Sumit Ghosh,"FJ Labs, Brian Norgard",13000000.0,Unknown,4,2021
DusMinute,2017.0,Bengaluru,Retail,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,Apoorva Mishra,Indian Angel Network,1100000.0,Pre-Series A,4,2021
Onsurity,2020.0,Bengaluru,Healthcare,Onsurity is an employee healthcare platform providing a monthly healthcare membership with group health insurance to emerging businesses.,"Kulin Shah, Yogesh Agarwal","Jitendra Gupta, Harsh Shah",unavailable,Unknown,4,2021
SkilloVilla,2020.0,Bengaluru,Edtech,Mission to support young graduates in enhancing their learnings and transform them into big earnings.,"Ronak Agrawal, Rajat Agrawal, Deepak Kharol",Titan Capital,300000.0,Seed,3,2021
Cancer Clinics,2014.0,Telangana,Healthcare,"Cancer Helpline is a source of information and support, helping with all the things that people affected by cancer want and need.","Sonali Srungaram, Sasi Sunkara",Axilor,1500000.0,Pre-Series A,3,2021
Velocity,2020.0,Bengaluru,Fintech,Velocity provides revenue-based-financing to online businesses. It aims to build the future of banking and financial services for new age businesses in India.,"Abhiroop Medhekar, Atul Khichariya, Saurav Swaroop",Valar Ventures,1300000.0,Seed,3,2021
Happy Jars,2016.0,New Delhi,Food & Beverages,"Manufacture and retail a delicious range of all-natural nut butters, made without oil, sugar or preservatives.","Surabhi Talwar, Vikram Sekhar",Inflection Point Ventures,400000.0,Seed,3,2021
Inshorts,2013.0,Noida,Media,Inshorts is a news aggregator application that collects and summarizes news based on user behavior and preferences.,"Anunay Pandey, Azhar Iqubal, Deepit Purkayastha","Addition, SIG Global India Fund",40000000.0,Unknown,3,2021
ExtraaEdge,2015.0,Pune,Martech,Data Science powered - Admission & Marketing CRM Automation for Education Enrolments,"Abhishek Ballabh, Sushil Mundada","9Unicorns Accelerator Fund, Indian Angel Network",1000000.0,Pre-Series A,3,2021
Zotalabs,2019.0,Pune,Tech,Zotalabs gives the power of Emerging Technology to your digital automation with our easy to use APIs.,"Nausherwan Shah, Wasim Khan",Alfa Ventures,1250000.0,Seed,3,2021
Voiro,2014.0,Bengaluru,Advertisement,Voiro is the first all-in-one revenue management suite exclusively for ad-led digital publishers across media.,"Anand Gopal, Kavita Shenoy",1Crowd,1800000.0,Pre-Series A,3,2021
Dream Sports,2008.0,Mumbai,Gaming,"Dream Sports is India’s leading sports technology company with brands such as Dream11, FanCode, DreamX and DreamSetGo in its portfolio.","Bhavit Sheth, Harsh Jain","TCV, D1 Capital Partners, Falcon Edge.",400000000.0,Unknown,3,2021
Safex Chemicals,1991.0,New Delhi,Agritech,Safex Chemicals India Ltd is a leading company having a strong foothold in the Indian agrochemicals industry.,"SK Jindal, SK Chaudhary",BanyanTree Finance Pvt. Ltd.,50000000.0,Unknown,3,2021
Instoried,2018.0,Bengaluru,Content Creation,Instoried is an augmented writing platform which improves customer interest and engagement.,"Sharmin Ali, Sutanshu Raj","EXPERT DOJO, Mumbai Angels",undisclosed,Unknown,3,2021
Rupifi,2019.0,Bengaluru,Fintech,Rupifi operates a software-as-a-service (SaaS) firm focussed on financial products.,Anubhav Jain,Quona Capital,4100000.0,Pre-Series A,3,2021
Moneyboxx,1994.0,Mumbai,Fintech,Moneyboxx Finance provides easy access to financing to the deserving micro enterprises.,Deepak Aggarwal,"Ashv Finance, BlackSoil Capital",3000000.0,Debt,3,2021
CityMall,2019.0,Gurugram,E-Commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"Angad Kikla, Divij Goyal","WaterBridge Ventures, SAIF Partners",11000000.0,Series A,3,2021
Janani,2020.0,Bengaluru,Healthcare,Janani.ai is a fertility care provider.,Nilay Mehrotra,"Sweta Rau, 9Unicorns Accelerator Fund",1000000.0,Seed,3,2021
ReshaMandi,2020.0,Bengaluru,Agritech,India's 1st award winning technology led digital ecosystem for Silk,Utkarsh Apoorva,"Omnivore, Strive Ventures",1700000.0,Seed,3,2021
Bombay Shaving Company,2015.0,New Delhi,Lifestyle,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.","Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande","Rajesh Sud, KULDEEP JAIN",2000000.0,Unknown,3,2021
DotPe,2019.0,Gurugram,Fintech,DotPe is a technology start-up providing a commerce and payments platform to offline enterprise businesses.,"Anurag Gupta, Gyanesh Sharma, Shailaz Nag","PayU, Google",27000000.0,Series A,3,2021
Homingos,2018.0,Bengaluru,Augmented Reality,Homingos is an Augmented reality (AR)-based social networking platform.,"Shourya Agarwal, Malhar Patil, Rajat Gupta","Sundi Natarajan, Srinivas Anumolu",undisclosed,Unknown,3,2021
Anar Business Community,2020.0,Mumbai,Tech,Anar is a communications and networking platform for businesses around the world.,"Nishank Jain, Sanjay Bhat","Titan Capital, First Cheque",undisclosed,Unknown,3,2021
Five Star Finance,1984.0,Chennai,Fintech,Five-Star is a Registered Non Banking Finance Company (NBFC) with Reserve Bank of India (RBI).,V K Ranganathan,"TPG Capital Asia, Epiq Capital",234000000.0,Unknown,3,2021
Settlrs,2018.0,Bengaluru,Rental Space,"A B2B rental services company for furniture, home appliances, electronic and IT infrastructure.","Gaurav Ranebennur, Nishanth Janadri",MaGEHold Pte. Ltd.,undisclosed,Pre-Series A,3,2021
BYJU'S,2011.0,Bengaluru,Edtech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath","BlackRock, Owl Ventures",460000000.0,Series F,3,2021
Annapurna Finance,2009.0,Bhubaneswar,Fintech,Annapurna Microfinance is a microfinance venture that works for the financial and economic upliftment of underserved and unreached women.,Gobinda Chandra Pattnaik,"Asian Development Bank, Oman India Joint Investment Fund",30000000.0,Unknown,3,2021
HealthPlix,2014.0,Bengaluru,Healthcare,HealthPlix is a healthtech startup,"Raghuraj Sunder Raju, Sandeep Gudibanda","JSW Ventures, Kalaari Capital",13500000.0,Series B,3,2021
Masai School,2019.0,Bengaluru,Edtech,Masai School is a job-oriented software training services.,Prateek Shukla,"Unitus Ventures, Omidyar Network India",5000000.0,Series A,3,2021
Bewakoof,2011.0,Mumbai,D2C Fashion,"Society perceives Bewakoof as stupid.But what does society call Bewakoof?Often, it’s anything different or anything that’s done differently.",Prabhkiran Singh,"IvyCap Ventures, Pratithi Investment Trust",4000000.0,Unknown,3,2021
IndiaLends,2014.0,New Delhi,Fintech,IndiaLends is a digital lending and borrowing marketplace.,"Gaurav Chopra, Mayank Kachhwaha","ACPI Investments, AdvantEdge Founders",5100000.0,Unknown,3,2021
Stelis Biopharma,2007.0,Bengaluru,Biotechnology,Stelis Biopharma is a vertically integrated biopharmaceutical company.,Pudhucode Radhakrishnan Kannan,"RouteOne, Mankekar Family Office",195000000.0,Series B,3,2021
Tilt,2016.0,Bengaluru,Bike Rental,A bike-share for Indian campuses,Deepak VS,Y Combinator,125000.0,Unknown,3,2021
NeoDove,2020.0,Jaipur,Ai,"Neodove is an AI-powered, end to end tech-enabled customer communication and reporting solution.",Aprit Khandelwal,India Quotient,15000000.0,Seed,3,2021
Zaara Biotech,2016.0,Kottayam,Biotechnology,India's First Algal-seaweed Biotechnology Students' Startup in collaboration with ICAR- Central Institute of fisheries and Technology,Najeeb Bin Haneef,TCN International Commerce,10000000.0,Unknown,3,2021
KreditBee,2018.0,Bengaluru,Fintech,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong","Alpine Capital, PremjiInvest",75000000.0,Seed,3,2021
True Balance,2014.0,Gurugram,Fintech,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,"Cheolwon Lee, Jay Yi, Martin Lee","Bon Angels Venture Partners, Daesung Private Equity",10000000.0,Debt,3,2021
Muvin,2020.0,Bengaluru,Fintech,Youth Neobank enabling financial solutions for the teenagers and young people,Mukund V Rao,,1000000.0,Seed,3,2021
Purplle,2011.0,Mumbai,Beauty Products,"Purplle is an online store selling cosmetics, fragrances, skin, and hair care products.","Manish Taneja, Rahul Dash","Spring Marketing Capital, Verlinvest",45000000.0,Unknown,3,2021
FloBiz,2019.0,Bengaluru,Tech,India’s first neobusiness platform,Rahul Raj,Elevation Capital,10000000.0,Series A,3,2021
Jeevam Health,2020.0,New Delhi,Healthcare,Jeevam Health is an Online Medical Clinic to Cure Root Cause of Chronic Issues in India.,"Kamran alam, Piyush vishwakarma",Y Combinator,1500000.0,Pre-Seed,3,2021
NewLink Group,2016.0,Beijing,Tech,Developer of an energy management and transportation digital platform designed to streamline the energy supply chain,"Yang Wang, Zhen Dai",Bain Capital,200000000.0,Unknown,3,2021
OZiva,2016.0,Mumbai,Healthcare,OZiva is a plant-based Clean Nutrition Brand.,"Aarti, Mihir Gadani","F-Prime Capital, Eight Roads Ventures India",12000000.0,Series B,3,2021
Blive,2004.0,Panaji,Tourism,B: Live is an electric vehicle tourism startup.,"Samarth Kholkar, Sandeep Mukherjee","Mumbai Angels, DNA Entertainment Networks",1000000.0,Pre-Series A,3,2021
Nazara Technologies,2000.0,Mumbai,Gaming,"Nazara Technologies develops mobile content such as games, themes, wallpapers, and multimedia.",Nitish Mittersain,"Hornbill Capital Advisers, Plutus Wealth Management",30000000.0,Unknown,3,2021
Euler Motors,2018.0,New Delhi,Automotive,Electric Light Commercial Vehicle,Saurav Kumar,"ADB Ventures, Jetty Ventures",2600000.0,Series A,3,2021
Pixxel,2019.0,Bengaluru,Spacetech,Pixxel is a Bengaluru-based space technology startup building a constellation of advanced earth imaging small satellites.,"Awais Ahmed, Kshitij Khandelwal","Techstars, Ryan Johnson",7300000.0,Seed,3,2021
Prescinto,2016.0,Gujarat,Solar,Prescinto is the brain of a solar plant delivering Actionable Intelligence to Increase Generation.,Puneet Jaggi,"Venture Catalysts, 9Unicorns Accelerator Fund",3500000.0,Seed,3,2021
MyGlamm,2015.0,Mumbai,Beauty Products,MyGlamm is a direct-to-consumer brand of award winning European beauty products.,Darpan Sanghvi,Bessemer Venture Partners,20000000.0,Series C,3,2021
Chirrup,2020.0,Bengaluru,Gaming,Video integrated social-gaming platform,"Vipul Garg, Sourav Lashkari, Mehul Mittal","Titan Capital, iSeed, First Cheque, 3.0 Fund.",300000.0,Pre-Seed,3,2021
Policybazaar,2008.0,Gurugram,Insurance,PolicyBazaar designs an online life insurance and general insurance comparison portal that analyzes financial products.,"Alok Bansal, Avaneesh Nirjar, Manoj Sharma, Tarun Mathur, Yashish Dahiya","Falcon Edge Capital, White Oak Global Advisors",75000000.0,Unknown,3,2021
Livve Homes,2017.0,Bengaluru,Rental Space,"India's homegrown online portal, championing the region for a brighter, more exciting livvable future. Right from simply connecting owners and tenants and to managing everything in between",Maya Lakshman,Angel investors,5000000.0,Unknown,3,2021
Juicy Chemistry,2014.0,Coimbatore,Healthcare,Juicy Chemistry operates as an eponymous consumer brand.,"Megha, Pritesh Asher.",Akya Ventures,6300000.0,Series A,3,2021
Svasti Microfinance,2008.0,Mumbai,Fintech,Svasti works with urban slum dwellers women microentrepreneurs.,"Arunkumar Padmanabhan, Narayanan Subramaniam","Kayenne Ventures, Nordic Microfinance Initiative",4000000.0,Unknown,3,2021
Nexprt,2020.0,New Delhi,Consulting,Nexprt Solutions offers end-to-end and 100% customized import solutions.,Harsha Vardhan K,Titan Capital,2000000.0,Unknown,3,2021
Wysa,2015.0,Bengaluru,Ai,Wysa is an AI conversational agent that has been shown to help improve mental health,"Jo Aggarwal, Ramakant Vempati","Kae Capital, Pi Ventures",undisclosed,Unknown,3,2021
Ankur capital,2011.0,Mumbai,Fintech,Early stage venture capital fund focused on opportunities created by rising aspirations & digital access for next billion Indians.,Ritu Verma,,40000000.0,Unknown,3,2021
Indifi,2015.0,Gurugram,Fintech,Indifi Technologies is a digital lending platform that offers loans to those that have potential and intent.,"Alok Mittal, Siddharth Mahanot, Sundeep Sahi","Elevar Equity, Accel India",5000000.0,Debt,3,2021
Firmway,2016.0,Mumbai,Fintech,Firmway is a platform that digitizes balance confirmation and reconciliation process.,"Prashant Gupta, Vivek Chandan",,undisclosed,Pre-Seed,3,2021
Say Cheese,2020.0,Mumbai,Femtech,"Say Cheese is the first holistic women-happiness platform in India, focused to increase the happiness of women through personalized solutions",Rajpreet Kaur,,1000000.0,Seed,3,2021
Indic Inspirations,2019.0,Pune,Cultural,"Indian Souvenirs online that reflect Indian tradition, culture & stories. Best for personal gifting and corporate gifting.",Sunil Jalihal,Marquee investors,300000.0,Unknown,3,2021
Bimaplan,2020.0,Mumbai,Fintech,Affordable insurance for the next billion Indians,Vikul Goyal,"Titan Capital, Y Combinator",500000.0,Seed,3,2021
YAP,2014.0,Chennai,Fintech,YAP is the API Platform for Banking and Payments products in Asia. More than 200 Fintechs across Asia rely on YAP,"Madhusudanan R, Prabhu R","Jitendra Gupta, Better Capital",10000000.0,Series B,3,2021
Leap Finance,2019.0,Bengaluru,Fintech,Leap Finance is a fintech startup for Indian students pursuing international higher education,Vaibhav Singh,Jungle Ventures,17000000.0,Series B,3,2021
BlackSoil NBFC,2010.0,Mumbai,Fintech,BlackSoil Capital has transformed into an alternative NBFC and AIF Fund platform with an expertise to finance multiple sectors.,Mohinder Pal Bansal,,3000000.0,Unknown,3,2021
OYO,2012.0,Gurugram,Hospitality,OYO operates a branded network of hotels designed to offer standardized stay experiences.,Ritesh Agarwal,Hindustan Media Venture,200000000.0,Unknown,3,2021
Max Healthcare,2000.0,New Delhi,Healthcare,Max Healthcare is one of the leading chain of hospitals in India.,Analjit Singh,"Radiant Life Care Private Ltd, Life Healthcare",140000000.0,Unknown,3,2021
4baseCare,2018.0,Bengaluru,Healthtech,4baseCare develops a unified and patient-centric ecosystem to fight cancer.,"Hitesh Goswami, Kshitij Rishi","Mount Judi Ventures, growX Ventures, Season Two Ventures",2000000.0,Pre-Series A,3,2021
Ezstays,2019.0,New Delhi,Edtech,"Ezstays is a leading student-life network, providing hostels and PG accommodation with top-tier living facilities at the best prices.","Vaibhav Khanna, Abhishek Kumar, Kumar Gaurav",Richard Rekhy,400000.0,Seed,3,2021
Stylework,2017.0,Gurugram,Co-Working,Stylework is an unconventional co-working space aggregator that is going to change the way people work.,Sparsh Khandelwal,Inflection Point Ventures,500000.0,Pre-Series A,3,2021
Kinara Capital,2011.0,Bengaluru,Fintech,Kinara Capital is a financing company that provides flexible collateral-free loans to small business entrepreneurs.,Hardika Shah,"GAWA Capital, Gaja Capital",6000000.0,Unknown,3,2021
Riskcovry,2018.0,Bengaluru,Insuretech,"Riskcovry is an ""Insurance-in-a-box” model offers a one-stop-shop platform to cater to any business's digital insurance needs.","Suvendu Prusty, Sorabh Bhandari, Vidya Sridharan, Chiranth Patil","Better Capital, Bharat Inclusion Seed Fund",5000000.0,Series A,3,2021
NODWIN,2012.0,Gurugram,Gaming,NODWIN Gaming is a gaming solutions company and creator of e-sports events.,Gautam Virk,Krafton,20000000.0,Unknown,3,2021
Quizizz,2015.0,Bengaluru,Edtech,Quizizz is a Education based startup,"Ankit Gupta, Deepak Joy Cheenath","Eight Roads Ventures India, Nexus Venture Partners",12500000.0,Series A,3,2021
Ecom Express,2012.0,New Delhi,E-Commerce,Ecom Express is an end-to-end technology-enabled logistics solutions provider to the Indian e-commerce industry.,"K. Satyanarayana, Manju Dhawan, Sanjeev Saxena, T. A. Krishnan","CDC Group, Partners Group",20000000.0,Unknown,3,2021
Turtlemint,2015.0,Mumbai,Insuretech,Turtlemint is an online insurance platform that identifies and purchases appropriate insurance policies for consumers.,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah",Jungle Ventures,45000000.0,Series D,3,2021
Captain Fresh,2019.0,Bengaluru,Supply Chain Platform,Captain Fresh is a freshwater fish and seafood supply chain platform.,Utham Gowda,"Matrix Partners India, Ankur Capital",3000000.0,Seed,3,2021
Northern Arc,2008.0,Chennai,Fintech,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,Kshama Fernandes,"U.S. International Development Finance Corp, Asian Development Bank",10000000.0,Debt,3,2021
Qoohoo,2020.0,Bengaluru,Social Platform,A platform for creators to build immersive connections with their fans and followers and monetize them.,"Vimal Singh Rathore, Aseem Gupta",Angel investors,800000.0,Seed,3,2021
IGL,2016.0,Mumbai,Gaming,Indian Gaming League is the premier eSports platform in India.,Yash Pariani,"Hungama, Hindustan Talkies",500000.0,Unknown,3,2021
AMPM,2018.0,Gurugram,E-Commerce,24*7 convenience store,Shubham Gupta,Agility Venture Partners,200000.0,Unknown,3,2021
The ePlane,2016.0,Chennai,Drone,"Transforming the mobility landscape using aerial transport. Currently, we build drones for industrial applications","Pranjal Mehta, Satyanarayanan Chakravarthy","Speciale Invest, Farid Ahsan",1000000.0,Seed,3,2021
Cashify,2009.0,Gurugram,E-Commerce,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Bessemer Venture Partners, CDH Investments",15000000.0,Unknown,3,2021
Bijnis,2014.0,New Delhi,B2B Service,Digitizing the Factories of the Unorganised Industries.,"Chaitanya Rathi, Shubham Agarwal, Siddharth Rastogi, Siddharth Vij","Sequoia Capital India, Matrix Partners India",undisclosed,Unknown,3,2021
Questt,2020.0,Gurugram,Edtech,Questt is a homework app that allows teachers to allocate objective and subjective homework based on selected content.,"Akhil Singh, Mohsin, Rohit Pande","Chiratae Ventures, AET Fund",1000000.0,Seed,3,2021
DealShare,2018.0,Jaipur,E-Commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Omidyar Network, Falcon Edge Capital",3000000.0,Debt,3,2021
Euler Motors,2018.0,New Delhi,Automotive,Electric Light Commercial Vehicle,Saurav Kumar,"Jetty Ventures, Srinivas Anumolu",4000000.0,Series A,3,2021
Blume Ventures,2011.0,Mumbai,Fintech,Blume Ventures provides pre-series A and early stage funding to tech-focused/tech-enabled ventures.,"Karthik Reddy, Sanjay Nath",Avendus,40000000.0,Unknown,3,2021
KoineArth,2018.0,Bengaluru,Blockchain,"Koinearth is a stealth mode startup working at the intersection of blockchains, machine learning and mechanism design",Praphul Chandra,YourNest,1800000.0,Pre-Series A,3,2021
ImaginXP,2013.0,Pune,Edtech,ImaginXP is a curriculum company with a focus on training and certification in UX Design and Design Thinking.,Vidhika Rohatgi,Venture Catalysts,1500000.0,Unknown,3,2021
Virohan,2018.0,Gurugram,Edtech,Virohan is an edtech company using technology to prepare a future-ready workforce for the healthcare industry.,"Archit Jayasal, Kunaal Dudeja, Nalin Saluja","National Skill Development Corporation, Rianta Capital",undisclosed,Unknown,3,2021
Apna.co,2019.0,Bengaluru,Recruitment,Apna is a recruitment platform that gives opportunities for blue or grey collar jobs.,Nirmit Parikh,"Sequoia Capital India, Rocketship.vc",12500000.0,Unknown,3,2021
ideaForge,2007.0,Mumbai,Drone,ideaForge is an Indian company engaged in the development of unmanned aerial systems.,"Ankit Mehta, Ashish Bhat","Infosys, Qualcomm Ventures",2000000.0,Unknown,3,2021
Clairco,2018.0,Bengaluru,Cleantech,Clairco provides enhanced air purification and real-time insights for breathable air indoors.,Aayush Jha,"Real Estate Accelerator Program (REAP), AngelList",500000.0,Unknown,3,2021
Northern Arc,2008.0,Chennai,Fintech,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,Kshama Fernandes,"Asian Development Bank, U.S. International Development Finance Corp",50000000.0,Debt,3,2021
Doubtnut,2016.0,Gurugram,Edtech,"Doubtnut operates as an e-learning platform that enables users to ask study questions in Physics, Chemistry, and Math.","Aditya Shankar, Tanushree Nagori","Omidyar Network, Tencent Holdings",30000000.0,Series B,2,2021
Hubhopper,2015.0,New Delhi,Podcast,"Hubhopper is India's leading podcast hosting, creation & distribution platform. Getting podcast across both Indian & global audio platforms",Gautam Raj Anand,"ITI Growth Opportunities Fund, Unit-E Ventures",undisclosed,Unknown,2,2021
Infra.Market,2016.0,Thane,Construction,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,"Aaditya Sharda, Souvik Sengupta","InnoVen Capital, Nexus Venture Partners",100000000.0,Series C,2,2021
Comofi Medtech,2017.0,Bengaluru,Healthtech,"Comofi Medtech develops healthcare products using artificial intelligence, augmented reality and IoT technologies","Satish Kalme, Kubasad Gururaj",CIIE.CO,200000.0,Unknown,2,2021
Battery Smart,2019.0,New Delhi,Battery,Battery Smart provides advanced Li-ion batteries to e-rickshaws.,"Pulkit Khurana, Siddharth Sikka",Orios Venture Partners,undisclosed,Seed,2,2021
Kutuki,2017.0,Bengaluru,Edtech,Kutuki is a learning platform focused on children between the ages of three and seven.,"Bharath Bevinahally, Sneha Sundaram",Omidyar Network India,2000000.0,Seed,2,2021
Onelife,2019.0,Mumbai,Healthcare,"Aspire to leverage the gifts of nature and science to help you make holistic lifestyle changes, with minimalistic effort, improving overall well-being.",Gaurav Aggarwal,Wipro venture capital arm,undisclosed,Unknown,2,2021
Eupheus,2017.0,New Delhi,Edtech,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,"Amit Kapoor, Rohit Dhar, Sarveshwar Shrivastava, Ved Prakash Khatri","Yuj Ventures, Sixth Sense Ventures",4000000.0,Series B,2,2021
